Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 3.52, Median = 0.00
Recall Coverage: Mean = 9.57, Median = 0.00
Recall Coverage: Mean = 14.19, Median = 0.00
Recall Coverage: Mean = 20.63, Median = 0.00
Recall Coverage: Mean = 27.46, Median = 0.00
Recall Coverage: Mean = 34.29, Median = 0.00
Recall Coverage: Mean = 41.86, Median = 0.00
Recall Coverage: Mean = 48.93, Median = 0.00
Recall Coverage: Mean = 56.02, Median = 100.00
Recall Coverage: Mean = 62.25, Median = 100.00
Recall Coverage: Mean = 68.04, Median = 100.00
Recall Coverage: Mean = 74.12, Median = 100.00
Recall Coverage: Mean = 79.82, Median = 100.00
Recall Coverage: Mean = 84.59, Median = 100.00
Recall Coverage: Mean = 88.28, Median = 100.00
Recall Coverage: Mean = 91.03, Median = 100.00
Recall Coverage: Mean = 93.59, Median = 100.00
Recall Coverage: Mean = 95.47, Median = 100.00
Recall Coverage: Mean = 96.66, Median = 100.00
