Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 2.56, Median = 0.00
Recall Coverage: Mean = 9.39, Median = 0.00
Recall Coverage: Mean = 15.89, Median = 0.00
Recall Coverage: Mean = 23.82, Median = 0.00
Recall Coverage: Mean = 31.90, Median = 0.00
Recall Coverage: Mean = 40.16, Median = 0.00
Recall Coverage: Mean = 49.05, Median = 0.00
Recall Coverage: Mean = 56.86, Median = 100.00
Recall Coverage: Mean = 64.34, Median = 100.00
Recall Coverage: Mean = 70.90, Median = 100.00
Recall Coverage: Mean = 76.54, Median = 100.00
Recall Coverage: Mean = 81.48, Median = 100.00
Recall Coverage: Mean = 86.02, Median = 100.00
Recall Coverage: Mean = 89.09, Median = 100.00
Recall Coverage: Mean = 91.71, Median = 100.00
Recall Coverage: Mean = 93.98, Median = 100.00
Recall Coverage: Mean = 96.30, Median = 100.00
Recall Coverage: Mean = 97.50, Median = 100.00
Recall Coverage: Mean = 98.36, Median = 100.00
