Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 3.64, Median = 0.00
Recall Coverage: Mean = 12.91, Median = 0.00
Recall Coverage: Mean = 19.95, Median = 0.00
Recall Coverage: Mean = 26.86, Median = 0.00
Recall Coverage: Mean = 34.68, Median = 0.00
Recall Coverage: Mean = 41.47, Median = 0.00
Recall Coverage: Mean = 48.06, Median = 0.00
Recall Coverage: Mean = 55.37, Median = 100.00
Recall Coverage: Mean = 61.78, Median = 100.00
Recall Coverage: Mean = 67.80, Median = 100.00
Recall Coverage: Mean = 73.26, Median = 100.00
Recall Coverage: Mean = 78.03, Median = 100.00
Recall Coverage: Mean = 81.84, Median = 100.00
Recall Coverage: Mean = 85.57, Median = 100.00
Recall Coverage: Mean = 88.40, Median = 100.00
Recall Coverage: Mean = 91.23, Median = 100.00
Recall Coverage: Mean = 93.29, Median = 100.00
Recall Coverage: Mean = 94.84, Median = 100.00
Recall Coverage: Mean = 95.95, Median = 100.00
