Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 5.25, Median = 0.00
Recall Coverage: Mean = 15.89, Median = 0.00
Recall Coverage: Mean = 24.87, Median = 0.00
Recall Coverage: Mean = 32.74, Median = 0.00
Recall Coverage: Mean = 40.04, Median = 0.00
Recall Coverage: Mean = 47.23, Median = 0.00
Recall Coverage: Mean = 54.20, Median = 100.00
Recall Coverage: Mean = 61.21, Median = 100.00
Recall Coverage: Mean = 66.01, Median = 100.00
Recall Coverage: Mean = 71.11, Median = 100.00
Recall Coverage: Mean = 75.22, Median = 100.00
Recall Coverage: Mean = 78.80, Median = 100.00
Recall Coverage: Mean = 82.29, Median = 100.00
Recall Coverage: Mean = 85.54, Median = 100.00
Recall Coverage: Mean = 87.87, Median = 100.00
Recall Coverage: Mean = 90.01, Median = 100.00
Recall Coverage: Mean = 91.62, Median = 100.00
Recall Coverage: Mean = 93.08, Median = 100.00
Recall Coverage: Mean = 94.51, Median = 100.00
