Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.60, Median = 0.00
Recall Coverage: Mean = 3.58, Median = 0.00
Recall Coverage: Mean = 6.44, Median = 0.00
Recall Coverage: Mean = 9.63, Median = 0.00
Recall Coverage: Mean = 13.83, Median = 0.00
Recall Coverage: Mean = 17.98, Median = 0.00
Recall Coverage: Mean = 22.48, Median = 0.00
Recall Coverage: Mean = 28.06, Median = 0.00
Recall Coverage: Mean = 33.09, Median = 0.00
Recall Coverage: Mean = 39.12, Median = 0.00
Recall Coverage: Mean = 45.44, Median = 0.00
Recall Coverage: Mean = 51.70, Median = 100.00
Recall Coverage: Mean = 58.05, Median = 100.00
Recall Coverage: Mean = 63.09, Median = 100.00
Recall Coverage: Mean = 68.52, Median = 100.00
Recall Coverage: Mean = 73.23, Median = 100.00
Recall Coverage: Mean = 77.49, Median = 100.00
Recall Coverage: Mean = 81.81, Median = 100.00
Recall Coverage: Mean = 85.12, Median = 100.00
