Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 3.10, Median = 0.00
Recall Coverage: Mean = 10.58, Median = 0.00
Recall Coverage: Mean = 17.56, Median = 0.00
Recall Coverage: Mean = 24.30, Median = 0.00
Recall Coverage: Mean = 31.63, Median = 0.00
Recall Coverage: Mean = 39.74, Median = 0.00
Recall Coverage: Mean = 47.38, Median = 0.00
Recall Coverage: Mean = 55.96, Median = 100.00
Recall Coverage: Mean = 62.97, Median = 100.00
Recall Coverage: Mean = 69.68, Median = 100.00
Recall Coverage: Mean = 75.31, Median = 100.00
Recall Coverage: Mean = 80.08, Median = 100.00
Recall Coverage: Mean = 83.81, Median = 100.00
Recall Coverage: Mean = 87.51, Median = 100.00
Recall Coverage: Mean = 89.77, Median = 100.00
Recall Coverage: Mean = 92.07, Median = 100.00
Recall Coverage: Mean = 93.89, Median = 100.00
Recall Coverage: Mean = 95.23, Median = 100.00
Recall Coverage: Mean = 96.63, Median = 100.00
