Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 4.32, Median = 0.00
Recall Coverage: Mean = 12.22, Median = 0.00
Recall Coverage: Mean = 19.17, Median = 0.00
Recall Coverage: Mean = 25.88, Median = 0.00
Recall Coverage: Mean = 33.15, Median = 0.00
Recall Coverage: Mean = 41.38, Median = 0.00
Recall Coverage: Mean = 49.19, Median = 0.00
Recall Coverage: Mean = 57.48, Median = 100.00
Recall Coverage: Mean = 64.46, Median = 100.00
Recall Coverage: Mean = 70.51, Median = 100.00
Recall Coverage: Mean = 76.86, Median = 100.00
Recall Coverage: Mean = 81.48, Median = 100.00
Recall Coverage: Mean = 85.57, Median = 100.00
Recall Coverage: Mean = 88.85, Median = 100.00
Recall Coverage: Mean = 92.28, Median = 100.00
Recall Coverage: Mean = 94.45, Median = 100.00
Recall Coverage: Mean = 96.03, Median = 100.00
Recall Coverage: Mean = 97.17, Median = 100.00
Recall Coverage: Mean = 98.24, Median = 100.00
