Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 1.13, Median = 0.00
Recall Coverage: Mean = 3.46, Median = 0.00
Recall Coverage: Mean = 5.07, Median = 0.00
Recall Coverage: Mean = 7.42, Median = 0.00
Recall Coverage: Mean = 10.88, Median = 0.00
Recall Coverage: Mean = 15.18, Median = 0.00
Recall Coverage: Mean = 19.62, Median = 0.00
Recall Coverage: Mean = 23.76, Median = 0.00
Recall Coverage: Mean = 29.19, Median = 0.00
Recall Coverage: Mean = 34.41, Median = 0.00
Recall Coverage: Mean = 39.59, Median = 0.00
Recall Coverage: Mean = 45.47, Median = 0.00
Recall Coverage: Mean = 51.22, Median = 100.00
Recall Coverage: Mean = 56.83, Median = 100.00
Recall Coverage: Mean = 61.48, Median = 100.00
Recall Coverage: Mean = 65.98, Median = 100.00
Recall Coverage: Mean = 71.17, Median = 100.00
Recall Coverage: Mean = 75.34, Median = 100.00
Recall Coverage: Mean = 78.65, Median = 100.00
