Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 1.19, Median = 0.00
Recall Coverage: Mean = 3.64, Median = 0.00
Recall Coverage: Mean = 5.49, Median = 0.00
Recall Coverage: Mean = 7.84, Median = 0.00
Recall Coverage: Mean = 11.96, Median = 0.00
Recall Coverage: Mean = 16.04, Median = 0.00
Recall Coverage: Mean = 20.36, Median = 0.00
Recall Coverage: Mean = 25.61, Median = 0.00
Recall Coverage: Mean = 30.83, Median = 0.00
Recall Coverage: Mean = 37.15, Median = 0.00
Recall Coverage: Mean = 42.67, Median = 0.00
Recall Coverage: Mean = 48.18, Median = 0.00
Recall Coverage: Mean = 54.41, Median = 100.00
Recall Coverage: Mean = 59.93, Median = 100.00
Recall Coverage: Mean = 65.56, Median = 100.00
Recall Coverage: Mean = 70.45, Median = 100.00
Recall Coverage: Mean = 75.13, Median = 100.00
Recall Coverage: Mean = 79.37, Median = 100.00
Recall Coverage: Mean = 82.98, Median = 100.00
