Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.09, Median = 0.00
Recall Coverage: Mean = 0.89, Median = 0.00
Recall Coverage: Mean = 2.39, Median = 0.00
Recall Coverage: Mean = 4.29, Median = 0.00
Recall Coverage: Mean = 6.65, Median = 0.00
Recall Coverage: Mean = 10.02, Median = 0.00
Recall Coverage: Mean = 14.34, Median = 0.00
Recall Coverage: Mean = 18.46, Median = 0.00
Recall Coverage: Mean = 22.60, Median = 0.00
Recall Coverage: Mean = 27.37, Median = 0.00
Recall Coverage: Mean = 31.69, Median = 0.00
Recall Coverage: Mean = 36.46, Median = 0.00
Recall Coverage: Mean = 41.65, Median = 0.00
Recall Coverage: Mean = 46.78, Median = 0.00
Recall Coverage: Mean = 52.06, Median = 100.00
Recall Coverage: Mean = 57.13, Median = 100.00
Recall Coverage: Mean = 61.45, Median = 100.00
Recall Coverage: Mean = 66.16, Median = 100.00
Recall Coverage: Mean = 70.54, Median = 100.00
