Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 3.28, Median = 0.00
Recall Coverage: Mean = 8.56, Median = 0.00
Recall Coverage: Mean = 13.06, Median = 0.00
Recall Coverage: Mean = 18.43, Median = 0.00
Recall Coverage: Mean = 23.82, Median = 0.00
Recall Coverage: Mean = 29.22, Median = 0.00
Recall Coverage: Mean = 34.44, Median = 0.00
Recall Coverage: Mean = 39.77, Median = 0.00
Recall Coverage: Mean = 44.45, Median = 0.00
Recall Coverage: Mean = 49.79, Median = 0.00
Recall Coverage: Mean = 53.52, Median = 100.00
Recall Coverage: Mean = 57.25, Median = 100.00
Recall Coverage: Mean = 60.64, Median = 100.00
Recall Coverage: Mean = 64.19, Median = 100.00
Recall Coverage: Mean = 67.86, Median = 100.00
Recall Coverage: Mean = 71.79, Median = 100.00
Recall Coverage: Mean = 74.12, Median = 100.00
Recall Coverage: Mean = 76.71, Median = 100.00
Recall Coverage: Mean = 79.49, Median = 100.00
