Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 6.44, Median = 0.00
Recall Coverage: Mean = 19.50, Median = 0.00
Recall Coverage: Mean = 31.60, Median = 0.00
Recall Coverage: Mean = 41.80, Median = 0.00
Recall Coverage: Mean = 50.89, Median = 100.00
Recall Coverage: Mean = 58.71, Median = 100.00
Recall Coverage: Mean = 66.07, Median = 100.00
Recall Coverage: Mean = 72.60, Median = 100.00
Recall Coverage: Mean = 78.35, Median = 100.00
Recall Coverage: Mean = 82.38, Median = 100.00
Recall Coverage: Mean = 85.90, Median = 100.00
Recall Coverage: Mean = 89.62, Median = 100.00
Recall Coverage: Mean = 92.40, Median = 100.00
Recall Coverage: Mean = 94.63, Median = 100.00
Recall Coverage: Mean = 96.03, Median = 100.00
Recall Coverage: Mean = 97.26, Median = 100.00
Recall Coverage: Mean = 98.27, Median = 100.00
Recall Coverage: Mean = 98.84, Median = 100.00
Recall Coverage: Mean = 99.17, Median = 100.00
