Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 1.70, Median = 0.00
Recall Coverage: Mean = 6.89, Median = 0.00
Recall Coverage: Mean = 11.54, Median = 0.00
Recall Coverage: Mean = 17.23, Median = 0.00
Recall Coverage: Mean = 22.45, Median = 0.00
Recall Coverage: Mean = 28.89, Median = 0.00
Recall Coverage: Mean = 34.73, Median = 0.00
Recall Coverage: Mean = 41.09, Median = 0.00
Recall Coverage: Mean = 48.33, Median = 0.00
Recall Coverage: Mean = 55.81, Median = 100.00
Recall Coverage: Mean = 63.21, Median = 100.00
Recall Coverage: Mean = 70.04, Median = 100.00
Recall Coverage: Mean = 75.28, Median = 100.00
Recall Coverage: Mean = 80.20, Median = 100.00
Recall Coverage: Mean = 84.85, Median = 100.00
Recall Coverage: Mean = 88.76, Median = 100.00
Recall Coverage: Mean = 91.38, Median = 100.00
Recall Coverage: Mean = 93.86, Median = 100.00
Recall Coverage: Mean = 95.71, Median = 100.00
