Recall Coverage: Mean = 0.00, Median = 0.00
Recall Coverage: Mean = 0.89, Median = 0.00
Recall Coverage: Mean = 6.80, Median = 0.00
Recall Coverage: Mean = 15.41, Median = 0.00
Recall Coverage: Mean = 23.82, Median = 0.00
Recall Coverage: Mean = 32.50, Median = 0.00
Recall Coverage: Mean = 41.23, Median = 0.00
Recall Coverage: Mean = 50.30, Median = 100.00
Recall Coverage: Mean = 58.71, Median = 100.00
Recall Coverage: Mean = 65.32, Median = 100.00
Recall Coverage: Mean = 71.94, Median = 100.00
Recall Coverage: Mean = 78.59, Median = 100.00
Recall Coverage: Mean = 84.35, Median = 100.00
Recall Coverage: Mean = 88.43, Median = 100.00
Recall Coverage: Mean = 91.80, Median = 100.00
Recall Coverage: Mean = 94.51, Median = 100.00
Recall Coverage: Mean = 96.45, Median = 100.00
Recall Coverage: Mean = 97.76, Median = 100.00
Recall Coverage: Mean = 98.60, Median = 100.00
Recall Coverage: Mean = 99.28, Median = 100.00
